player,archetype,old_team,season_before,score_before,new_team,season_after,score_after,delta,league_std,team_archetype_mean,classification,moved_toward_new_team_mean
A Mishra,Middle-Over Squeezer,Delhi Capitals,2010,0.14683282992092406,Deccan Chargers,2011,0.7025905907097396,0.5557577607888156,1.4532054773986787,0.4189051809161545,Stable,False
A Mishra,Middle-Over Squeezer,Sunrisers Hyderabad,2014,-0.014980740387138479,Delhi Capitals,2015,0.5121346012919868,0.5271153416791253,0.8373206168403796,0.17132840183960468,Stable,False
A Nehra,Middle-Over Squeezer,Mumbai Indians,2008,0.4776450090713641,Delhi Capitals,2009,0.4689767735241934,-0.008668235547170666,1.7033856820754156,1.2020625747546247,Stable,False
A Nehra,Middle-Over Squeezer,Delhi Capitals,2010,3.1912139743718715,Pune Warriors,2012,0.19707939897933532,-2.994134575392536,1.198262598756564,1.0264100162801202,Adaptable,True
A Nehra,Middle-Over Squeezer,Pune Warriors,2012,0.19707939897933532,Delhi Capitals,2013,1.6922674973762508,1.4951880983969155,1.4610915065970356,0.4539798105970126,Adaptable,False
A Nehra,Death Specialist,Chennai Super Kings,2015,0.4993503662534715,Sunrisers Hyderabad,2016,0.23477658082005246,-0.26457378543341903,1.0293195393612475,0.41858853368800714,Stable,False
A Nortje,Middle-Over Squeezer,Delhi Capitals,2024,-0.0745185375493265,Kolkata Knight Riders,2025,0.9092218457436438,0.9837403832929703,1.200295880613949,0.9092218457436438,Stable,True
A Symonds,Anchor,Deccan Chargers,2010,1.8148351352954615,Mumbai Indians,2011,1.6648225473033587,-0.15001258799210282,0.7737106731511492,1.2677122060040982,Stable,True
A Zampa,Middle-Over Squeezer,Rising Pune Supergiant,2017,-0.038417293241269836,Royal Challengers Bengaluru,2020,0.936786626442756,0.9752039196840259,1.7015359340307288,1.2741782390489518,Stable,True
AB Dinda,Middle-Over Squeezer,Kolkata Knight Riders,2010,0.9970654017946121,Delhi Capitals,2011,1.5674786826353553,0.5704132808407432,1.4532054773986787,0.5787482555655916,Stable,False
AB Dinda,Middle-Over Squeezer,Pune Warriors,2013,0.3231528359854467,Royal Challengers Bengaluru,2014,0.9157415109728267,0.5925886749873801,0.8439624218059659,0.9984495743241091,Stable,True
AB McDonald,Death Specialist,Delhi Capitals,2011,3.2741876955412366,Royal Challengers Bengaluru,2012,2.487643415037907,-0.7865442805033296,1.319884648203072,1.3827085682704012,Stable,True
AB de Villiers,Anchor,Delhi Capitals,2010,0.730992145221486,Royal Challengers Bengaluru,2011,1.4696918110645643,0.7386996658430782,0.7737106731511492,1.1346882219970975,Stable,True
AD Mathews,Death Specialist,Kolkata Knight Riders,2010,0.7470108917165724,Pune Warriors,2012,0.4087089969646177,-0.3383018947519547,1.319884648203072,0.7577832999751527,Stable,False
AF Milne,Middle-Over Squeezer,Mumbai Indians,2021,0.4708782455645197,Chennai Super Kings,2022,5.045925261138438,4.575047015573919,1.0812241852825197,1.6736596062427829,Adaptable,False
AG Murtaza,Middle-Over Squeezer,Mumbai Indians,2011,0.857360038738534,Pune Warriors,2012,3.876518624544675,3.019158585806141,1.198262598756564,1.0264100162801202,Adaptable,False
AJ Finch,Powerplay Aggressor,Delhi Capitals,2012,0.6032111348832332,Pune Warriors,2013,0.9512385853321454,0.34802745044891226,0.8175819915004204,0.26160959808814854,Stable,False
AJ Finch,Powerplay Aggressor,Pune Warriors,2013,0.9512385853321454,Sunrisers Hyderabad,2014,0.3451455657551504,-0.6060930195769951,0.7766621442845983,0.23462097252388972,Stable,True
AJ Finch,Powerplay Aggressor,Sunrisers Hyderabad,2014,0.3451455657551504,Mumbai Indians,2015,-0.2942100419454264,-0.6393556077005768,0.5405043552103314,0.1267507769960791,Adaptable,False
AJ Finch,Powerplay Aggressor,Royal Challengers Bengaluru,2020,0.4063677555207381,Kolkata Knight Riders,2022,0.07302921102790902,-0.33333854449282907,0.8853818056430386,-0.23513566190400276,Stable,True
AJ Tye,Death Specialist,Punjab Kings,2019,-0.30305732149389514,Rajasthan Royals,2020,-1.333896492532983,-1.0308391710390878,1.1685464989120908,0.14506120257687014,Stable,False
AJ Tye,Death Specialist,Rajasthan Royals,2020,-1.333896492532983,Lucknow Super Giants,2022,-0.3294228078649603,1.0044736846680227,1.1629921003502353,0.3750862150481389,Stable,True
AK Markram,Anchor,Punjab Kings,2021,2.2489413151027957,Sunrisers Hyderabad,2022,2.6043904491640184,0.3554491340612227,0.7534865848885228,2.05255362466462,Stable,False
AM Rahane,Anchor,Rajasthan Royals,2015,0.8922280859425262,Rising Pune Supergiant,2016,0.6792538336518104,-0.21297425229071587,0.5728056927342756,1.5383457656782815,Stable,False
AM Rahane,Powerplay Aggressor,Rising Pune Supergiant,2017,0.253201823223991,Rajasthan Royals,2018,0.333707174568091,0.08050535134410003,0.44629537274048015,0.5395001312072553,Stable,True
AM Rahane,Powerplay Aggressor,Rajasthan Royals,2019,0.5546638097775299,Delhi Capitals,2020,0.12474670086359946,-0.4299171089139305,0.7393470022780508,0.6091763863068802,Stable,False
AM Rahane,Powerplay Aggressor,Delhi Capitals,2021,0.18305346117747945,Kolkata Knight Riders,2022,-0.045443472229452817,-0.22849693340693228,0.8853818056430386,-0.23513566190400276,Stable,True
AM Rahane,Powerplay Aggressor,Chennai Super Kings,2024,0.2792022206027503,Kolkata Knight Riders,2025,1.0527681182447508,0.7735658976420006,1.045410959606985,0.6712273327594452,Stable,True
AN Ahmed,Middle-Over Squeezer,Mumbai Indians,2013,2.228008017050913,Royal Challengers Bengaluru,2014,0.7248767493929441,-1.503131267657969,0.8439624218059659,0.9984495743241091,Adaptable,True
AP Tare,Powerplay Aggressor,Mumbai Indians,2015,-0.07883179979670255,Sunrisers Hyderabad,2016,-0.7036255465749579,-0.6247937467782554,0.9056031481890515,-0.009852175662262541,Stable,False
AP Tare,Powerplay Aggressor,Sunrisers Hyderabad,2016,-0.7036255465749579,Delhi Capitals,2017,-0.5631385357699268,0.14048701080503112,0.5566253329225781,0.23640958433896822,Stable,True
AR Patel,Middle-Over Squeezer,Punjab Kings,2018,0.22425349684050744,Delhi Capitals,2019,0.6602014983081451,0.4359480014676377,1.2196324318120157,0.560418218029835,Stable,True
AS Joseph,Death Specialist,Mumbai Indians,2019,1.306581477828553,Gujarat Titans,2022,0.44180032737950936,-0.8647811504490436,1.1629921003502353,0.6443393932791499,Stable,True
AS Joseph,Death Specialist,Gujarat Titans,2023,0.015693221638747916,Royal Challengers Bengaluru,2024,-0.39146804801334506,-0.407161269652093,1.192730667767415,0.7042783976909163,Stable,False
AS Rajpoot,Middle-Over Squeezer,Kolkata Knight Riders,2017,0.575746039074167,Punjab Kings,2018,-0.6722050828064745,-1.2479511218806416,1.4113279201609845,0.2758982936596463,Stable,False
AS Rajpoot,Death Specialist,Punjab Kings,2019,0.10756482119040305,Rajasthan Royals,2020,-0.8485363205167039,-0.9561011417071069,1.1685464989120908,0.14506120257687014,Stable,False
AS Roy,Death Specialist,Mumbai Indians,2019,2.4891732487593305,Kolkata Knight Riders,2022,2.5073370722081756,0.01816382344884504,1.1629921003502353,1.4101272286562592,Stable,False
Abdul Samad,Death Specialist,Sunrisers Hyderabad,2024,0.511046851005215,Lucknow Super Giants,2025,0.27977020073094844,-0.23127665027426653,1.1237425393337022,0.44928498197680156,Stable,False
Abhishek Sharma,Death Specialist,Delhi Capitals,2018,0.9726031653659856,Sunrisers Hyderabad,2019,2.4891732487593305,1.5165700833933449,1.0948862151118541,0.5904893030297182,Adaptable,False
