season,player,season_runs_conceded,season_balls,season_economy,streak_runs_conceded,streak_balls,streak_economy,economy_delta
2008,A Kumble,304,230,7.930434782608695,22,24,5.5,-2.430434782608695
2008,A Mishra,138,119,6.957983193277311,138,119,6.957983193277311,0.0
2008,A Nehra,348,269,7.762081784386616,132,101,7.841584158415842,0.079502374029226
2008,AB Agarkar,207,156,7.961538461538462,177,138,7.695652173913044,-0.26588628762541777
2008,AB Dinda,260,234,6.666666666666667,190,180,6.333333333333333,-0.3333333333333339
2008,AM Nayar,68,42,9.714285714285714,22,24,5.5,-4.2142857142857135
2008,B Akhil,134,104,7.730769230769232,17,18,5.666666666666667,-2.0641025641025648
2008,B Geeves,91,48,11.375,91,48,11.375,0.0
2008,B Lee,112,96,7.0,103,72,8.583333333333334,1.583333333333334
2008,CRD Fernando,160,120,8.0,119,96,7.4375,-0.5625
2008,D Salunkhe,78,47,9.957446808510639,78,47,9.957446808510639,0.0
2008,DJ Bravo,232,171,8.140350877192983,24,24,6.0,-2.140350877192983
2008,DJ Hussey,130,78,10.0,94,54,10.444444444444445,0.44444444444444464
2008,DL Vettori,54,48,6.75,54,48,6.75,0.0
2008,DR Smith,83,66,7.545454545454546,83,66,7.545454545454546,0.0
2008,DS Kulkarni,236,177,8.0,60,36,10.0,2.0
2008,GD McGrath,357,324,6.611111111111111,357,324,6.611111111111111,0.0
2008,Gagandeep Singh,141,84,10.071428571428571,141,84,10.071428571428571,0.0
2008,I Sharma,329,253,7.8023715415019765,232,187,7.443850267379679,-0.35852127412229784
2008,IK Pathan,350,318,6.60377358490566,331,294,6.755102040816326,0.15132845591066602
2008,JA Morkel,399,288,8.3125,399,288,8.3125,0.0
2008,JDP Oram,149,96,9.3125,149,96,9.3125,0.0
2008,JH Kallis,311,206,9.058252427184465,98,48,12.25,3.191747572815535
2008,JR Hopes,276,168,9.857142857142858,276,168,9.857142857142858,0.0
2008,Joginder Sharma,239,148,9.68918918918919,239,148,9.68918918918919,0.0
2008,L Balaji,286,198,8.666666666666666,286,198,8.666666666666666,0.0
2008,LR Shukla,124,72,10.333333333333334,79,48,9.875,-0.4583333333333339
2008,M Kartik,127,88,8.65909090909091,103,76,8.131578947368421,-0.5275119617224888
2008,M Muralitharan,404,348,6.9655172413793105,404,348,6.9655172413793105,0.0
2008,M Ntini,242,210,6.914285714285715,242,210,6.914285714285715,0.0
2008,MF Maharoof,249,216,6.916666666666667,249,216,6.916666666666667,0.0
2008,MM Patel,420,330,7.636363636363637,420,330,7.636363636363637,0.0
2008,MS Gony,443,360,7.383333333333334,443,360,7.383333333333334,0.0
2008,Mohammad Asif,296,192,9.25,296,192,9.25,0.0
2008,Mohammad Hafeez,68,60,6.8,68,60,6.8,0.0
2008,P Amarnath,236,132,10.727272727272727,236,132,10.727272727272727,0.0
2008,P Kumar,366,268,8.194029850746269,109,66,9.909090909090908,1.7150610583446397
2008,PJ Sangwan,215,144,8.958333333333334,215,144,8.958333333333334,0.0
2008,PP Chawla,389,281,8.306049822064056,373,257,8.70817120622568,0.40212138416162446
2008,Pankaj Singh,129,72,10.75,129,72,10.75,0.0
2008,R Bhatia,183,132,8.318181818181818,183,132,8.318181818181818,0.0
2008,R Vinay Kumar,182,138,7.913043478260869,56,36,9.333333333333334,1.4202898550724647
2008,RR Powar,91,72,7.583333333333333,91,72,7.583333333333333,0.0
2008,RR Raje,137,98,8.387755102040817,56,36,9.333333333333334,0.945578231292517
2008,S Sreesanth,442,307,8.63843648208469,411,283,8.713780918727915,0.0753444366432241
2008,SB Joshi,82,55,8.945454545454545,63,49,7.714285714285714,-1.231168831168831
2008,SC Ganguly,128,120,6.4,97,90,6.466666666666667,0.06666666666666643
2008,SD Chitnis,60,36,10.0,40,24,10.0,0.0
2008,SK Trivedi,399,288,8.3125,399,288,8.3125,0.0
2008,SK Warne,404,312,7.769230769230769,404,312,7.769230769230769,0.0
2008,SM Pollock,301,276,6.543478260869565,96,84,6.857142857142857,0.31366459627329135
2008,SR Watson,383,325,7.070769230769231,383,325,7.070769230769231,0.0
2008,ST Jayasuriya,159,126,7.571428571428571,56,48,7.0,-0.5714285714285712
2008,Shoaib Akhtar,54,42,7.714285714285714,54,42,7.714285714285714,0.0
2008,Shoaib Malik,85,51,10.0,85,51,10.0,0.0
2008,Sohail Tanvir,266,247,6.461538461538462,266,247,6.461538461538462,0.0
2008,Umar Gul,184,135,8.177777777777777,101,72,8.416666666666666,0.23888888888888893
2008,V Sehwag,133,66,12.090909090909092,133,66,12.090909090909092,0.0
2008,VRV Singh,420,288,8.75,380,264,8.636363636363637,-0.11363636363636331
2008,VS Yeligati,59,30,11.8,43,24,10.75,-1.0500000000000007
2008,VY Mahesh,370,253,8.774703557312254,370,253,8.774703557312254,0.0
2008,YK Pathan,230,169,8.165680473372781,230,169,8.165680473372781,0.0
2008,Yuvraj Singh,83,54,9.222222222222221,83,54,9.222222222222221,0.0
2008,Z Khan,357,252,8.5,79,72,6.583333333333333,-1.916666666666667
2009,A Flintoff,105,66,9.545454545454545,105,66,9.545454545454545,0.0
2009,A Kumble,347,355,5.864788732394366,271,283,5.745583038869258,-0.11920569352510846
2009,A Mishra,294,253,6.972332015810277,294,253,6.972332015810277,0.0
2009,A Nehra,346,306,6.784313725490196,346,306,6.784313725490196,0.0
2009,A Singh,95,105,5.428571428571429,67,60,6.7,1.2714285714285714
2009,A Symonds,160,144,6.666666666666667,160,144,6.666666666666667,0.0
2009,AD Mascarenhas,132,116,6.8275862068965525,83,68,7.323529411764706,0.49594320486815313
2009,AM Nayar,84,72,7.0,59,60,5.9,-1.0999999999999996
2009,AM Salvi,134,102,7.882352941176471,134,102,7.882352941176471,0.0
2009,Anureet Singh,47,30,9.4,35,24,8.75,-0.6500000000000004
2009,B Akhil,80,66,7.2727272727272725,48,48,6.0,-1.2727272727272725
2009,B Lee,111,120,5.55,96,96,6.0,0.4500000000000002
2009,BAW Mendis,117,96,7.3125,58,48,7.25,-0.0625
2009,BJ Hodge,161,120,8.05,29,18,9.666666666666666,1.6166666666666654
2009,CH Gayle,144,113,7.646017699115045,44,36,7.333333333333333,-0.31268436578171155
2009,D du Preez,56,42,8.0,56,42,8.0,0.0
2009,DJ Bravo,259,199,7.809045226130654,148,102,8.705882352941176,0.8968371268105217
2009,DL Vettori,181,139,7.812949640287769,181,139,7.812949640287769,0.0
2009,DP Nannes,372,297,7.515151515151516,372,297,7.515151515151516,0.0
2009,DR Smith,124,84,8.857142857142858,124,84,8.857142857142858,0.0
2009,DW Steyn,62,54,6.888888888888889,62,54,6.888888888888889,0.0
2009,FH Edwards,154,140,6.6000000000000005,154,140,6.6000000000000005,0.0
2009,Harbhajan Singh,256,264,5.818181818181818,118,114,6.2105263157894735,0.3923444976076551
2009,Harmeet Singh,192,137,8.408759124087592,192,137,8.408759124087592,0.0
2009,I Sharma,297,258,6.906976744186046,65,48,8.125,1.2180232558139537
2009,IK Pathan,390,302,7.748344370860927,297,230,7.747826086956521,-0.0005182839044062248
2009,J Botha,74,72,6.166666666666667,55,48,6.875,0.708333333333333
2009,JA Morkel,328,240,8.2,275,192,8.59375,0.3937500000000007
2009,JD Ryder,115,102,6.764705882352941,90,78,6.923076923076923,0.15837104072398223
2009,JDP Oram,133,93,8.580645161290322,92,63,8.761904761904763,0.18125960061444069
2009,JH Kallis,353,276,7.673913043478261,290,234,7.435897435897436,-0.23801560758082463
2009,JP Duminy,93,105,5.314285714285714,23,18,7.666666666666667,2.352380952380953
2009,Joginder Sharma,57,42,8.142857142857142,57,42,8.142857142857142,0.0
2009,K Goel,61,48,7.625,61,48,7.625,0.0
2009,KP Appanna,87,72,7.25,34,36,5.666666666666667,-1.583333333333333
2009,KP Pietersen,85,78,6.538461538461538,61,54,6.777777777777778,0.23931623931623935
2009,Kamran Khan,124,106,7.018867924528301,85,64,7.96875,0.9498820754716988
2009,L Balaji,316,224,8.464285714285714,269,185,8.724324324324325,0.2600386100386114
2009,LR Shukla,100,84,7.142857142857143,25,24,6.25,-0.8928571428571432
2009,M Morkel,40,42,5.714285714285714,40,42,5.714285714285714,0.0
2009,M Muralitharan,261,300,5.22,206,252,4.904761904761905,-0.31523809523809465
2009,MF Maharoof,65,60,6.5,65,60,6.5,0.0
2009,MM Patel,241,209,6.918660287081339,143,137,6.262773722627737,-0.6558865644536018
2009,MS Gony,172,102,10.117647058823529,172,102,10.117647058823529,0.0
2009,P Kumar,394,298,7.932885906040269,369,274,8.08029197080292,0.1474060647626505
2009,PJ Sangwan,360,280,7.714285714285714,360,280,7.714285714285714,0.0
2009,PP Chawla,308,269,6.869888475836431,253,210,7.228571428571429,0.3586829527349975
2009,PP Ojha,348,321,6.5046728971962615,348,321,6.5046728971962615,0.0
2009,Pankaj Singh,65,42,9.285714285714286,51,36,8.5,-0.7857142857142865
2009,R Bhatia,146,130,6.7384615384615385,146,130,6.7384615384615385,0.0
2009,R Vinay Kumar,271,194,8.38144329896907,208,146,8.547945205479452,0.16650190651038166
2009,RA Jadeja,151,140,6.4714285714285715,103,92,6.717391304347826,0.24596273291925463
2009,RE van der Merwe,248,204,7.294117647058823,203,162,7.518518518518518,0.22440087145969478
2009,RG Sharma,161,138,7.0,161,138,7.0,0.0
2009,RJ Harris,230,186,7.419354838709677,230,186,7.419354838709677,0.0
2009,RP Singh,417,358,6.988826815642458,417,358,6.988826815642458,0.0
2009,RR Powar,132,126,6.285714285714286,112,108,6.222222222222222,-0.06349206349206327
2009,S Sreesanth,192,138,8.347826086956522,172,114,9.052631578947368,0.7048054919908466
2009,S Tyagi,136,114,7.157894736842105,110,84,7.857142857142857,0.6992481203007515
2009,SB Jakati,217,174,7.482758620689655,193,150,7.72,0.23724137931034495
2009,SB Styris,64,48,8.0,64,48,8.0,0.0
