season,player,team,tenure_years
2012,A Ashish Reddy,Deccan Chargers,1
2013,A Ashish Reddy,Sunrisers Hyderabad,1
2015,A Ashish Reddy,Sunrisers Hyderabad,1
2016,A Ashish Reddy,Sunrisers Hyderabad,2
2022,A Badoni,Lucknow Super Giants,1
2023,A Badoni,Lucknow Super Giants,2
2024,A Badoni,Lucknow Super Giants,3
2025,A Badoni,Lucknow Super Giants,4
2012,A Chandila,Rajasthan Royals,1
2013,A Chandila,Rajasthan Royals,2
2008,A Chopra,Kolkata Knight Riders,1
2009,A Chopra,Kolkata Knight Riders,2
2017,A Choudhary,Royal Challengers Bengaluru,1
2018,A Dananjaya,Mumbai Indians,1
2009,A Flintoff,Chennai Super Kings,1
2024,A Kamboj,Mumbai Indians,1
2025,A Kamboj,Chennai Super Kings,1
2008,A Kumble,Royal Challengers Bengaluru,1
2009,A Kumble,Royal Challengers Bengaluru,2
2010,A Kumble,Royal Challengers Bengaluru,3
2022,A Manohar,Gujarat Titans,1
2023,A Manohar,Gujarat Titans,2
2024,A Manohar,Gujarat Titans,3
2025,A Manohar,Sunrisers Hyderabad,1
2025,A Mhatre,Chennai Super Kings,1
2008,A Mishra,Delhi Capitals,1
2009,A Mishra,Delhi Capitals,2
2010,A Mishra,Delhi Capitals,3
2011,A Mishra,Deccan Chargers,1
2012,A Mishra,Deccan Chargers,2
2013,A Mishra,Sunrisers Hyderabad,1
2014,A Mishra,Sunrisers Hyderabad,2
2015,A Mishra,Delhi Capitals,1
2016,A Mishra,Delhi Capitals,2
2017,A Mishra,Delhi Capitals,3
2018,A Mishra,Delhi Capitals,4
2019,A Mishra,Delhi Capitals,5
2020,A Mishra,Delhi Capitals,6
2021,A Mishra,Delhi Capitals,7
2023,A Mishra,Lucknow Super Giants,1
2024,A Mishra,Lucknow Super Giants,2
2009,A Mithun,Royal Challengers Bengaluru,1
2010,A Mithun,Royal Challengers Bengaluru,2
2011,A Mithun,Royal Challengers Bengaluru,3
2012,A Mithun,Royal Challengers Bengaluru,4
2013,A Mithun,Royal Challengers Bengaluru,5
2008,A Mukund,Chennai Super Kings,1
2013,A Mukund,Royal Challengers Bengaluru,1
2008,A Nehra,Mumbai Indians,1
2009,A Nehra,Delhi Capitals,1
2010,A Nehra,Delhi Capitals,2
2012,A Nehra,Pune Warriors,1
2013,A Nehra,Delhi Capitals,1
2014,A Nehra,Chennai Super Kings,1
2015,A Nehra,Chennai Super Kings,2
2016,A Nehra,Sunrisers Hyderabad,1
2017,A Nehra,Sunrisers Hyderabad,2
2008,A Nel,Mumbai Indians,1
2020,A Nortje,Delhi Capitals,1
2021,A Nortje,Delhi Capitals,2
2022,A Nortje,Delhi Capitals,3
2023,A Nortje,Delhi Capitals,4
2024,A Nortje,Delhi Capitals,5
2025,A Nortje,Kolkata Knight Riders,1
2024,A Raghuvanshi,Kolkata Knight Riders,1
2025,A Raghuvanshi,Kolkata Knight Riders,2
2009,A Singh,Rajasthan Royals,1
2011,A Singh,Rajasthan Royals,1
2012,A Singh,Rajasthan Royals,2
2008,A Symonds,Deccan Chargers,1
2009,A Symonds,Deccan Chargers,2
2010,A Symonds,Deccan Chargers,3
2011,A Symonds,Mumbai Indians,1
2022,A Tomar,Kolkata Knight Riders,1
2010,A Uniyal,Rajasthan Royals,1
2016,A Zampa,Rising Pune Supergiant,1
2017,A Zampa,Rising Pune Supergiant,2
2020,A Zampa,Royal Challengers Bengaluru,1
2023,A Zampa,Rajasthan Royals,1
2025,A Zampa,Sunrisers Hyderabad,1
2009,AA Bilakhia,Deccan Chargers,1
2010,AA Bilakhia,Deccan Chargers,2
2011,AA Chavan,Rajasthan Royals,1
2012,AA Chavan,Rajasthan Royals,2
2013,AA Chavan,Rajasthan Royals,3
2010,AA Jhunjhunwala,Rajasthan Royals,1
2011,AA Jhunjhunwala,Pune Warriors,1
2012,AA Jhunjhunwala,Deccan Chargers,1
2011,AA Kazi,Royal Challengers Bengaluru,1
2024,AA Kulkarni,Lucknow Super Giants,1
2008,AA Noffke,Royal Challengers Bengaluru,1
2008,AB Agarkar,Kolkata Knight Riders,1
2009,AB Agarkar,Kolkata Knight Riders,2
2010,AB Agarkar,Kolkata Knight Riders,3
2011,AB Agarkar,Delhi Capitals,1
2012,AB Agarkar,Delhi Capitals,2
2013,AB Agarkar,Delhi Capitals,3
2010,AB Barath,Punjab Kings,1
2008,AB Dinda,Kolkata Knight Riders,1
2009,AB Dinda,Kolkata Knight Riders,2
2010,AB Dinda,Kolkata Knight Riders,3
2011,AB Dinda,Delhi Capitals,1
2012,AB Dinda,Pune Warriors,1
2013,AB Dinda,Pune Warriors,2
2014,AB Dinda,Royal Challengers Bengaluru,1
