season,team,streak_start_date,streak_end_date,streak_length
2008,Chennai Super Kings,2008-04-19,2008-06-01,16
2008,Delhi Capitals,2008-04-19,2008-05-30,14
2008,Kolkata Knight Riders,2008-04-18,2008-05-03,6
2008,Kolkata Knight Riders,2008-05-11,2008-05-18,4
2008,Mumbai Indians,2008-05-18,2008-05-28,5
2008,Punjab Kings,2008-04-19,2008-04-21,2
2008,Punjab Kings,2008-04-27,2008-05-31,12
2008,Rajasthan Royals,2008-04-19,2008-06-01,16
2008,Royal Challengers Bengaluru,2008-04-18,2008-04-26,3
2009,Chennai Super Kings,2009-04-18,2009-04-27,4
2009,Chennai Super Kings,2009-05-04,2009-05-23,8
2009,Deccan Chargers,2009-04-19,2009-05-24,16
2009,Delhi Capitals,2009-04-19,2009-05-22,15
2009,Kolkata Knight Riders,2009-04-23,2009-04-27,2
2009,Mumbai Indians,2009-04-18,2009-05-03,6
2009,Punjab Kings,2009-04-26,2009-05-12,8
2009,Punjab Kings,2009-05-17,2009-05-20,2
2009,Rajasthan Royals,2009-04-26,2009-04-30,3
2009,Rajasthan Royals,2009-05-07,2009-05-17,5
2009,Royal Challengers Bengaluru,2009-04-18,2009-04-26,5
2009,Royal Challengers Bengaluru,2009-05-01,2009-05-07,3
2009,Royal Challengers Bengaluru,2009-05-14,2009-05-24,5
2010,Chennai Super Kings,2010-03-19,2010-03-25,4
2010,Chennai Super Kings,2010-04-06,2010-04-10,2
2010,Chennai Super Kings,2010-04-15,2010-04-25,4
2010,Deccan Chargers,2010-03-12,2010-03-14,2
2010,Deccan Chargers,2010-03-21,2010-04-01,4
2010,Deccan Chargers,2010-04-12,2010-04-24,5
2010,Delhi Capitals,2010-03-13,2010-04-18,14
2010,Kolkata Knight Riders,2010-03-12,2010-03-22,5
2010,Kolkata Knight Riders,2010-03-29,2010-04-04,3
2010,Mumbai Indians,2010-03-13,2010-04-25,16
2010,Punjab Kings,2010-03-13,2010-03-16,2
2010,Rajasthan Royals,2010-03-13,2010-03-15,2
2010,Rajasthan Royals,2010-03-26,2010-04-17,9
2010,Royal Challengers Bengaluru,2010-03-14,2010-04-24,16
2011,Chennai Super Kings,2011-04-08,2011-04-22,5
2011,Chennai Super Kings,2011-04-27,2011-05-28,10
2011,Kochi Tuskers Kerala,2011-04-20,2011-04-27,3
2011,Kochi Tuskers Kerala,2011-05-05,2011-05-13,3
2011,Kolkata Knight Riders,2011-04-15,2011-05-25,13
2011,Mumbai Indians,2011-04-10,2011-05-27,16
2011,Pune Warriors,2011-04-10,2011-04-20,4
2011,Punjab Kings,2011-04-21,2011-04-23,2
2011,Punjab Kings,2011-05-15,2011-05-21,3
2011,Rajasthan Royals,2011-04-09,2011-05-11,11
2011,Royal Challengers Bengaluru,2011-04-09,2011-04-16,4
2011,Royal Challengers Bengaluru,2011-05-08,2011-05-28,8
2012,Chennai Super Kings,2012-04-10,2012-04-14,3
2012,Chennai Super Kings,2012-04-21,2012-05-06,5
2012,Chennai Super Kings,2012-05-12,2012-05-27,6
2012,Delhi Capitals,2012-04-05,2012-05-25,18
2012,Kolkata Knight Riders,2012-04-15,2012-05-27,13
2012,Mumbai Indians,2012-04-04,2012-04-22,6
2012,Mumbai Indians,2012-04-27,2012-05-23,10
2012,Pune Warriors,2012-04-06,2012-05-03,11
2012,Punjab Kings,2012-05-02,2012-05-08,3
2012,Punjab Kings,2012-05-15,2012-05-19,3
2012,Rajasthan Royals,2012-04-06,2012-05-01,10
2012,Rajasthan Royals,2012-05-08,2012-05-10,2
2012,Royal Challengers Bengaluru,2012-04-07,2012-04-12,3
2012,Royal Challengers Bengaluru,2012-04-28,2012-05-02,2
2012,Royal Challengers Bengaluru,2012-05-11,2012-05-14,2
2013,Chennai Super Kings,2013-04-13,2013-05-26,16
2013,Delhi Capitals,2013-04-03,2013-04-06,2
2013,Kolkata Knight Riders,2013-04-03,2013-04-11,3
2013,Mumbai Indians,2013-04-04,2013-04-21,6
2013,Mumbai Indians,2013-04-27,2013-05-26,12
2013,Punjab Kings,2013-04-23,2013-04-26,2
2013,Rajasthan Royals,2013-04-06,2013-05-24,18
2013,Royal Challengers Bengaluru,2013-04-04,2013-05-18,16
2013,Sunrisers Hyderabad,2013-04-05,2013-05-22,17
2014,Chennai Super Kings,2014-04-23,2014-05-30,14
