match_id,season,innings,over,ball,batting_team,bowling_team,batter,bowler,phase,wp_before,wp_after,leverage_index,dls_flag
335983,2008,1,9,6,Chennai Super Kings,Punjab Kings,MEK Hussey,K Goel,Middle,0.6402694384957358,0.6442726591339597,0.0040032206382238,False
335983,2008,1,15,3,Chennai Super Kings,Punjab Kings,JDP Oram,IK Pathan,Death,0.838444080182865,0.7577520686782577,0.0806920115046072,False
335984,2008,2,0,1,Delhi Capitals,Rajasthan Royals,G Gambhir,MM Patel,Powerplay,0.5317296272654695,0.4984855319269645,0.0332440953385049,False
335985,2008,1,9,4,Mumbai Indians,Royal Challengers Bengaluru,PR Shah,R Vinay Kumar,Middle,0.6702640670950311,0.6750037478726297,0.0047396807775986,False
335985,2008,2,7,2,Royal Challengers Bengaluru,Mumbai Indians,R Dravid,ST Jayasuriya,Middle,0.5660149997566961,0.5689017852381136,0.0028867854814175,False
335985,2008,2,16,6,Royal Challengers Bengaluru,Mumbai Indians,MV Boucher,ST Jayasuriya,Death,0.6679581914656977,0.6348935924137921,0.0330645990519056,False
335985,2008,2,18,2,Royal Challengers Bengaluru,Mumbai Indians,MV Boucher,Harbhajan Singh,Death,0.904535051048622,0.9458084384203024,0.0412733873716804,False
335986,2008,2,8,7,Kolkata Knight Riders,Deccan Chargers,DJ Hussey,SB Bangar,Middle,0.3627020379222697,0.3581857597112989,0.0045162782109707,False
335986,2008,2,17,1,Kolkata Knight Riders,Deccan Chargers,LR Shukla,SB Styris,Death,0.533645773542517,0.5371419709003877,0.0034961973578707,False
335987,2008,1,3,2,Punjab Kings,Rajasthan Royals,JR Hopes,SR Watson,Powerplay,0.5869006118209285,0.5770156303893397,0.0098849814315887,True
335987,2008,1,12,3,Punjab Kings,Rajasthan Royals,Yuvraj Singh,SK Trivedi,Middle,0.5727022268310155,0.5726057289395202,9.649789149523968e-05,True
335987,2008,2,4,3,Rajasthan Royals,Punjab Kings,SR Watson,JR Hopes,Powerplay,0.5824544057679253,0.5819104946183211,0.0005439111496041,True
335989,2008,1,12,4,Chennai Super Kings,Mumbai Indians,ML Hayden,SM Pollock,Middle,0.8371414724969907,0.8483617111075035,0.0112202386105128,False
335989,2008,2,11,6,Mumbai Indians,Chennai Super Kings,DJ Bravo,P Amarnath,Middle,0.2223052481328942,0.217861671417618,0.0044435767152762,False
335989,2008,2,13,1,Mumbai Indians,Chennai Super Kings,AM Nayar,P Amarnath,Middle,0.2371622094517987,0.2195885868830595,0.0175736225687392,False
335989,2008,2,14,6,Mumbai Indians,Chennai Super Kings,MA Khote,Joginder Sharma,Middle,0.2114225066577783,0.1891979125007244,0.0222245941570539,False
335990,2008,1,10,4,Deccan Chargers,Rajasthan Royals,RG Sharma,SK Warne,Middle,0.6329503896635039,0.6375929201779074,0.0046425305144034,False
335991,2008,1,3,4,Punjab Kings,Mumbai Indians,KC Sangakkara,A Nehra,Powerplay,0.3848082564413935,0.433599174694034,0.0487909182526405,False
335991,2008,1,17,1,Punjab Kings,Mumbai Indians,KC Sangakkara,DS Kulkarni,Death,0.7079081323698581,0.7157906307439167,0.0078824983740586,False
335991,2008,2,14,3,Mumbai Indians,Punjab Kings,SM Pollock,B Lee,Middle,0.0463010604399181,0.0411979971718432,0.0051030632680748,False
335991,2008,2,19,6,Mumbai Indians,Punjab Kings,A Nehra,IK Pathan,Death,1.4978498207498973e-51,0.0,1.4978498207498973e-51,False
335992,2008,1,7,3,Royal Challengers Bengaluru,Rajasthan Royals,V Kohli,MM Patel,Middle,0.4065637666092634,0.4100322634767872,0.0034684968675237,False
335992,2008,1,19,1,Royal Challengers Bengaluru,Rajasthan Royals,Z Khan,SR Watson,Death,0.4069336749712168,0.4135022708609221,0.0065685958897053,False
335994,2008,1,1,2,Mumbai Indians,Deccan Chargers,L Ronchi,DNT Zoysa,Powerplay,0.497172828446309,0.4764348194181979,0.0207380090281111,False
335995,2008,2,7,8,Punjab Kings,Delhi Capitals,Yuvraj Singh,Shoaib Malik,Middle,0.5914699308742767,0.5941271848729675,0.0026572539986907,False
335995,2008,2,12,1,Punjab Kings,Delhi Capitals,SM Katich,MF Maharoof,Middle,0.7658056426879433,0.7579264142049216,0.0078792284830216,False
335995,2008,2,13,7,Punjab Kings,Delhi Capitals,SM Katich,R Bhatia,Middle,0.8414175405964123,0.7532598827759667,0.0881576578204456,False
335996,2008,2,7,5,Royal Challengers Bengaluru,Chennai Super Kings,W Jaffer,P Amarnath,Middle,0.6757921141778338,0.7110083945229668,0.035216280345133,False
335998,2008,1,17,4,Delhi Capitals,Royal Challengers Bengaluru,G Gambhir,JH Kallis,Death,0.8500782047708254,0.8586420805442219,0.0085638757733964,False
335998,2008,2,18,3,Royal Challengers Bengaluru,Delhi Capitals,MV Boucher,DL Vettori,Death,0.1334751609885504,0.0913322505902693,0.042142910398281,False
335998,2008,2,19,3,Royal Challengers Bengaluru,Delhi Capitals,V Kohli,V Sehwag,Death,0.0015123668336888,9.545507716570304e-05,0.0014169117565231,False
335999,2008,1,0,1,Deccan Chargers,Punjab Kings,AC Gilchrist,S Sreesanth,Powerplay,0.5317296272654695,0.4892165876068646,0.0425130396586048,False
335999,2008,1,2,6,Deccan Chargers,Punjab Kings,VVS Laxman,S Sreesanth,Powerplay,0.6849602822081331,0.6855334059467445,0.0005731237386114,False
335999,2008,1,10,3,Deccan Chargers,Punjab Kings,Shahid Afridi,IK Pathan,Middle,0.5718977876653635,0.5711874862022129,0.0007103014631505,False
335999,2008,2,6,3,Punjab Kings,Deccan Chargers,KC Sangakkara,D Kalyankrishna,Middle,0.5556514688385173,0.5587163108287498,0.0030648419902324,False
335999,2008,2,17,2,Punjab Kings,Deccan Chargers,DPMD Jayawardene,DNT Zoysa,Death,0.9269278730528336,0.9288937320834538,0.0019658590306202,False
336001,2008,1,13,5,Chennai Super Kings,Delhi Capitals,S Vidyut,VY Mahesh,Middle,0.8442700616307018,0.8443647145498187,9.465291911681106e-05,False
336002,2008,1,6,3,Deccan Chargers,Royal Challengers Bengaluru,HH Gibbs,V Kohli,Middle,0.7569616317249364,0.7604176250822465,0.0034559933573101,False
336002,2008,2,14,1,Royal Challengers Bengaluru,Deccan Chargers,CL White,RP Singh,Middle,0.5533454698641768,0.5332376823442646,0.0201077875199121,False
336003,2008,1,16,3,Punjab Kings,Kolkata Knight Riders,IK Pathan,Umar Gul,Death,0.6129433586266411,0.6185631139948122,0.0056197553681711,False
336003,2008,2,9,6,Kolkata Knight Riders,Punjab Kings,DJ Hussey,VRV Singh,Middle,0.067213732310111,0.0670933831464059,0.0001203491637051,False
336003,2008,2,10,1,Kolkata Knight Riders,Punjab Kings,DJ Hussey,Gagandeep Singh,Middle,0.0670933831464059,0.0669037660629317,0.0001896170834742,False
336004,2008,1,13,4,Mumbai Indians,Delhi Capitals,AM Nayar,R Bhatia,Middle,0.6264086793405178,0.6268465497395362,0.0004378703990184,False
336005,2008,1,6,3,Chennai Super Kings,Rajasthan Royals,SK Raina,MM Patel,Middle,0.2337235475780432,0.2314002012772072,0.0023233463008359,False
336007,2008,1,3,1,Chennai Super Kings,Deccan Chargers,S Anirudha,RP Singh,Powerplay,0.3778491148905855,0.393138562346817,0.0152894474562315,False
336008,2008,2,6,2,Mumbai Indians,Rajasthan Royals,ST Jayasuriya,Sohail Tanvir,Middle,0.7911872832746584,0.7971129634808618,0.0059256802062034,False
336011,2008,1,6,3,Deccan Chargers,Rajasthan Royals,HH Gibbs,SK Warne,Middle,0.7709269083895747,0.7672665898800622,0.0036603185095124,False
336011,2008,1,16,4,Deccan Chargers,Rajasthan Royals,DB Ravi Teja,SR Watson,Death,0.3935896521526431,0.4127704262560833,0.0191807741034402,False
336013,2008,2,11,1,Punjab Kings,Chennai Super Kings,SE Marsh,M Muralitharan,Middle,0.5866063591255365,0.585779678220614,0.0008266809049224,False
336014,2008,1,5,6,Kolkata Knight Riders,Deccan Chargers,A Chopra,RP Singh,Powerplay,0.6118688062775332,0.6166212954582406,0.0047524891807074,False
336015,2008,1,14,2,Delhi Capitals,Rajasthan Royals,A Mishra,MM Patel,Middle,0.4365557424080868,0.4431366366318822,0.0065808942237953,False
336016,2008,1,8,1,Royal Challengers Bengaluru,Punjab Kings,CL White,VRV Singh,Middle,0.4657916380056267,0.4790854020761686,0.0132937640705418,False
336017,2008,1,6,1,Kolkata Knight Riders,Delhi Capitals,Salman Butt,VY Mahesh,Middle,0.5380475854956314,0.5447593218199778,0.0067117363243464,False
336018,2008,1,11,1,Chennai Super Kings,Mumbai Indians,S Badrinath,RR Raje,Middle,0.3280638358560321,0.3349609180518852,0.0068970821958531,False
336018,2008,1,19,6,Chennai Super Kings,Mumbai Indians,MS Dhoni,DS Kulkarni,Death,0.7132955427509091,0.7274938839156914,0.0141983411647822,False
336018,2008,2,2,6,Mumbai Indians,Chennai Super Kings,ST Jayasuriya,MS Gony,Powerplay,0.6302734128560484,0.6482113537741395,0.017937940918091,False
