season,team,player,archetype,archetype_score,league_median_score,score_gap,weight_share,projected_quality_shift,slope,p_value,replacement_delta_win_pct,discipline,key_stat,key_stat_actual,key_stat_median,key_stat_deficit
2021,Punjab Kings,SN Khan,Powerplay Aggressor,-1.341279812028717,0.5137847204826633,1.8550645325113804,0.4,0.7420258130045522,4.890782596069032,0.043026184574214,3.6290869320766377,Batter,Powerplay SR,0.0,130.3,130.3
2011,Delhi Capitals,UBT Chand,Powerplay Aggressor,-1.8379116501666528,0.327500598150112,2.165412248316765,0.3333333333333333,0.7218040827722549,4.890782596069032,0.043026184574214,3.530186845794116,Batter,Powerplay SR,0.0,124.8,124.8
2016,Delhi Capitals,SS Iyer,Powerplay Aggressor,-0.4017307369558158,0.6758946938233199,1.0776254307791358,0.6666666666666666,0.7184169538527572,4.890782596069032,0.043026184574214,3.513621134623994,Batter,Powerplay SR,72.5,138.6,66.1
2012,Royal Challengers Bengaluru,CA Pujara,Powerplay Aggressor,-0.115730327307094,0.4279702261886214,0.5437005534957154,1.0,0.5437005534957154,4.890782596069032,0.043026184574214,2.659121204509945,Batter,Powerplay SR,81.0,112.6,31.7
2011,Delhi Capitals,CA Ingram,Powerplay Aggressor,-0.6307990202744859,0.327500598150112,0.958299618424598,0.5,0.4791498092122989,4.890782596069032,0.043026184574214,2.3434175478053088,Batter,Powerplay SR,58.3,124.8,66.4
2016,Sunrisers Hyderabad,NV Ojha,Powerplay Aggressor,-0.4508764036380017,0.6758946938233199,1.1267710974613216,0.40625,0.4577507583436619,4.890782596069032,0.043026184574214,2.238759442244583,Batter,Powerplay SR,70.0,138.6,68.6
2022,Lucknow Super Giants,MK Pandey,Powerplay Aggressor,-0.138159875682827,0.4153519864636829,0.5535118621465098,0.75,0.4151338966098823,4.890782596069032,0.043026184574214,2.030329636577933,Batter,Powerplay SR,91.2,136.3,45.2
2011,Delhi Capitals,S Sriram,Powerplay Aggressor,-1.8379116501666528,0.327500598150112,2.165412248316765,0.1666666666666666,0.3609020413861274,4.890782596069032,0.043026184574214,1.7650934228970578,Batter,Powerplay SR,0.0,124.8,124.8
2020,Chennai Super Kings,MS Dhoni,Powerplay Aggressor,-0.1168739905294292,0.5772110560798991,0.6940850466093282,0.4615384615384615,0.3203469445889207,4.890782596069032,0.043026184574214,1.5667472612993842,Batter,Powerplay SR,83.3,123.9,40.6
2008,Kolkata Knight Riders,A Chopra,Powerplay Aggressor,-0.7941624464572485,0.1014364343337163,0.895598880790965,0.3571428571428571,0.3198567431396303,4.890782596069032,0.043026184574214,1.5643497925826269,Batter,Powerplay SR,65.7,137.2,71.5
2025,Delhi Capitals,J Fraser-McGurk,Powerplay Aggressor,-0.4229558551616879,0.7278205235522982,1.150776378713986,0.25,0.2876940946784965,4.890782596069032,0.043026184574214,1.407049271245427,Batter,Powerplay SR,84.2,175.4,91.2
2012,Delhi Capitals,NV Ojha,Powerplay Aggressor,-0.0617664447181017,0.4279702261886214,0.4897366709067232,0.5714285714285714,0.2798495262324132,4.890782596069032,0.043026184574214,1.3686831924156508,Batter,Powerplay SR,83.7,112.6,28.9
2010,Rajasthan Royals,FY Fazal,Powerplay Aggressor,-0.0805316822334676,0.5574073162143302,0.6379389984477978,0.4,0.2551755993791191,4.890782596069032,0.043026184574214,1.2480083803848794,Batter,Powerplay SR,95.1,127.4,32.3
2021,Punjab Kings,P Simran Singh,Powerplay Aggressor,-0.0820479776409895,0.5137847204826633,0.5958326981236529,0.4,0.2383330792494611,4.890782596069032,0.043026184574214,1.1656352760608062,Batter,Powerplay SR,82.6,130.3,47.7
2014,Delhi Capitals,M Vijay,Powerplay Aggressor,-0.1444531725682015,0.4669950078515026,0.6114481804197041,0.3793103448275862,0.231928620159198,4.890782596069032,0.043026184574214,1.1343124590049112,Batter,Powerplay SR,81.0,116.9,35.9
2022,Sunrisers Hyderabad,Abdul Samad,Powerplay Aggressor,-1.630235330164723,0.4153519864636829,2.045587316628406,0.1111111111111111,0.2272874796253784,4.890782596069032,0.043026184574214,1.1116136496561957,Batter,Powerplay SR,0.0,136.3,136.3
2013,Sunrisers Hyderabad,Q de Kock,Powerplay Aggressor,-0.9447522237453828,0.4804268272901159,1.4251790510354985,0.1578947368421052,0.2250282712161313,4.890782596069032,0.043026184574214,1.1005643524873572,Batter,Powerplay SR,40.0,115.8,75.8
