match_id,season,innings,over,ball,batter,bowler,runs_total,leverage_index
392186,2009,2,9,2,BJ Hodge,RS Bopara,0,1.0
1370353,2023,2,14,6,RA Jadeja,MM Sharma,4,1.0
392183,2009,2,4,6,V Sehwag,PP Chawla,6,1.0
980997,2016,2,10,6,AM Rahane,Mohammed Shami,1,1.0
336025,2008,2,7,7,SP Fleming,AB Agarkar,0,1.0
733993,2014,2,4,2,NV Ojha,LR Shukla,6,1.0
980989,2016,2,4,7,YK Pathan,A Zampa,1,1.0
1136578,2018,2,11,1,CH Gayle,TK Curran,6,1.0
1082648,2017,2,5,2,IR Jaggi,Bipul Sharma,1,1.0
829807,2015,2,5,5,V Kohli,B Kumar,6,1.0
501245,2011,2,9,7,JH Kallis,S Randiv,1,1.0
336022,2008,2,7,6,DPMD Jayawardene,R Bhatia,6,1.0
980943,2016,2,10,7,MS Dhoni,A Nehra,0,0.9999999999999998
1473493,2025,2,18,7,Arshad Khan,DL Chahar,1,0.9999997292471241
981005,2016,2,19,7,MS Dhoni,AR Patel,6,0.9994241167179044
1304062,2022,2,19,7,R Tewatia,OF Smith,6,0.9979764986008299
829741,2015,2,19,6,AR Patel,JP Faulkner,4,0.9955228941604414
548368,2012,2,19,6,DJ Bravo,R Bhatia,6,0.9954528256991461
548355,2012,2,19,6,DR Smith,BW Hilfenhaus,4,0.9926328361583899
1304079,2022,2,19,6,MS Dhoni,JD Unadkat,4,0.9906778315953955
1254101,2021,2,19,7,KS Bharat,Avesh Khan,6,0.9865225432270994
1359487,2023,2,19,6,RK Singh,Yash Dayal,6,0.9809538783754769
501267,2011,2,19,6,AT Rayudu,L Balaji,6,0.9665447250880378
1359526,2023,2,19,7,Abdul Samad,Sandeep Sharma,6,0.9640988305865907
1254116,2021,2,19,5,RA Tripathi,R Ashwin,6,0.9624141943003968
